won,drawn,lost,GF,GA,GD,points,WF,DF,LF,winner
15,3,3,42,18,24,48,3,0,2,-1
12,5,5,41,27,14,41,2,0,3,1
11,5,5,40,20,20,38,4,1,0,-1
10,8,4,31,22,9,38,2,2,1,-1
10,5,5,27,15,12,35,2,2,1,-1
9,7,6,28,20,8,34,1,1,3,-1
8,10,3,32,31,1,34,2,1,2,-1
9,6,7,23,21,2,33,1,0,4,-1
9,5,8,32,24,8,32,3,0,2,-1
9,5,8,33,26,7,32,3,2,0,-1
9,5,7,28,27,1,32,2,1,2,-1
8,8,6,23,24,-1,32,2,2,1,-1
6,7,8,32,32,0,25,2,2,1,-1
6,5,9,22,30,-8,23,1,0,4,-1
5,6,11,31,44,-13,21,2,1,2,-1
4,8,9,20,31,-11,20,0,4,1,-1
4,7,10,28,43,-15,19,3,1,1,-1
5,4,12,12,31,-19,19,1,1,3,-1
5,3,14,17,33,-16,18,2,0,3,-1
2,4,16,21,44,-23,10,0,1,4,-1
12,6,4,38,20,18,42,2,2,1,-1
11,7,3,39,20,19,40,1,3,1,-1
10,8,3,42,25,17,38,3,2,0,1
11,4,6,38,22,16,37,2,1,2,-1
11,4,4,33,23,10,37,4,0,1,-1
10,5,6,29,19,10,35,2,2,1,-1
9,8,4,33,29,4,35,3,1,1,-1
7,7,7,29,29,0,28,1,1,3,-1
6,10,4,21,22,-1,28,1,4,0,-1
8,4,8,22,26,-4,28,2,2,1,-1
6,6,9,21,30,-9,24,2,1,2,-1
5,8,8,22,27,-5,23,4,1,0,-1
5,8,7,20,25,-5,23,0,2,3,-1
6,5,9,20,27,-7,23,1,3,1,-1
6,4,11,16,27,-11,22,0,2,3,-1
5,6,9,18,26,-8,21,1,1,3,-1
4,8,8,19,22,-3,20,2,2,1,-1
3,8,10,19,36,-17,17,2,1,2,-1
4,4,12,28,37,-9,16,1,0,4,-1
4,6,11,25,40,-15,15,1,1,3,-1
15,4,3,51,16,35,49,4,0,1,-1
13,3,6,49,22,27,42,2,2,1,-1
11,8,3,39,24,15,41,2,2,1,-1
12,4,5,38,19,19,40,5,0,0,-1
10,7,4,37,24,13,37,3,1,1,1
10,5,7,37,29,8,35,2,2,1,-1
10,5,7,31,25,6,35,1,2,2,-1
11,1,10,34,32,2,34,4,0,1,-1
7,8,7,26,22,4,29,0,2,3,-1
7,6,9,26,28,-2,27,1,3,1,-1
7,5,9,22,27,-5,26,0,1,4,-1
7,5,10,34,45,-11,26,1,2,2,-1
7,4,11,25,30,-5,25,2,3,0,-1
6,6,9,21,26,-5,24,1,2,2,-1
6,5,11,23,32,-9,23,3,1,1,-1
5,8,9,21,31,-10,23,2,0,3,-1
5,8,9,21,31,-10,23,0,3,2,-1
4,10,8,19,33,-14,22,0,3,2,-1
5,5,12,19,39,-20,20,1,1,3,-1
5,3,14,19,57,-38,18,1,2,2,-1
22,13,3,80,37,43,79,3,2,0,-1
22,12,4,59,17,42,78,4,0,1,-1
20,15,3,57,30,27,75,3,2,0,1
18,13,7,62,34,28,67,2,2,1,-1
16,9,13,46,53,-7,57,3,0,2,-1
15,10,13,51,46,5,55,2,0,3,-1
15,9,14,68,49,19,54,3,1,1,-1
13,13,12,40,45,-5,52,1,2,2,-1
12,15,11,48,54,-6,51,1,1,3,-1
12,13,13,40,46,-6,49,2,0,3,-1
11,14,13,47,50,-3,47,0,1,4,-1
13,7,18,41,42,-1,46,2,2,1,-1
11,13,14,48,54,-6,46,0,4,1,-1
11,10,17,42,47,-5,43,3,0,2,-1
11,9,18,39,51,-12,42,1,2,2,-1
10,12,16,40,63,-23,42,0,1,4,-1
11,8,19,37,64,-27,41,3,2,0,-1
8,12,18,41,56,-15,36,1,1,3,-1
7,14,17,38,52,-14,35,0,3,2,-1
7,9,22,35,69,-34,30,3,0,2,-1
14,2,5,35,24,11,44,3,0,2,-1
13,4,2,50,25,25,43,4,1,0,1
12,4,5,37,21,16,40,2,2,1,-1
11,5,5,35,25,10,38,2,1,2,-1
11,4,6,31,18,13,37,3,1,1,-1
10,5,6,30,21,9,35,3,2,0,-1
10,4,7,32,24,8,34,2,1,2,-1
9,3,9,30,30,0,30,0,1,4,-1
7,8,6,35,30,5,29,2,2,1,-1
8,5,8,21,22,-1,29,3,1,1,-1
7,7,6,24,23,1,28,0,4,1,-1
8,3,8,23,26,-3,27,1,2,2,-1
6,7,7,28,24,4,25,1,2,2,-1
5,10,6,32,35,-3,25,2,2,1,-1
6,6,9,34,37,-3,24,2,2,1,-1
5,5,10,24,32,-8,20,1,1,3,-1
5,4,12,19,32,-13,19,2,1,2,-1
4,6,11,16,31,-15,18,1,2,2,-1
4,2,15,17,44,-27,14,1,0,4,-1
2,4,14,17,46,-29,10,1,1,3,-1
14,4,2,47,14,33,46,3,1,1,1
11,5,4,36,19,17,38,3,1,1,-1
10,5,5,23,19,4,35,4,0,1,-1
10,5,5,23,21,2,35,3,0,2,-1
10,4,6,29,22,7,34,2,1,2,-1
10,3,7,37,25,12,33,3,0,2,-1
9,3,8,22,25,-3,30,2,1,2,-1
7,8,5,30,21,9,29,2,2,1,-1
7,8,4,23,18,5,29,1,3,1,-1
7,6,7,37,27,10,27,3,1,1,-1
7,5,8,26,29,-3,26,0,3,2,-1
7,4,8,26,27,-1,25,1,0,4,-1
7,4,9,26,35,-9,25,1,1,3,-1
6,6,8,26,32,-6,24,2,1,2,-1
6,4,10,21,32,-11,22,0,1,4,-1
4,8,8,23,35,-12,20,3,1,1,-1
5,4,11,25,33,-8,19,1,2,2,-1
5,4,11,19,35,-16,19,2,1,2,-1
